Title,Domain,Difficulty,GitHub Link,YouTube Link,Technologies,Description
AI Resume Builder,AI,Intermediate,https://github.com/olyaiy/resume-lm,https://www.youtube.com/watch?v=RiUh_8VTGYM,TensorFlow,An AI tool to help users create resumes.
Face Recognition Attendance System,CVIP,Beginner,https://github.com/Patelrahul4884/Attendance-Management-system-using-face-recognition,https://www.youtube.com/watch?v=z_dbnYHAQYg,OpenCV,A system that uses face recognition for attendance tracking.
Web-based Chat Application,Web Development,Intermediate,https://github.com/ProjectsAndPrograms/webChatApp,https://www.youtube.com/watch?v=gbocZlm71nE,Flask,A web-based chat application for communication.
Social Media Influence Analyzer,SNA,Advanced,https://github.com/talicopanda/social-media-influence-analysis/,https://www.youtube.com/watch?v=THdrju-UWjo,NetworkX,Analyzes the influence of social media.
Spam Detection with Naive Bayes,NLP,Beginner,https://github.com/nikhilkr29/Email-Spam-Classifier-using-Naive-Bayes,https://www.youtube.com/watch?v=2sXAYoPIz3A,NLTK,Classifies emails as spam or not spam using Naive Bayes.
Personal Portfolio Website,Web Development,Beginner,https://github.com/topics/personal-portfolio-website,https://www.youtube.com/watch?v=ldwlOzRvYOU,React,A platform to showcase personal projects.
Fake Review Detection,ML,Advanced,https://github.com/SayamAlt/Fake-Reviews-Detection,https://www.youtube.com/watch?v=oOFLrwGpeuU,TensorFlow,Detects fake reviews in a dataset.
Network Intrusion Detection System,Cybersecurity,Advanced,https://github.com/Vatshayan/Network-Intrusion-Detection-Project,https://www.youtube.com/watch?v=tC53oreKfZo,scikit-learn,Detects network intrusions using machine learning.
Handwritten Digit Recognition,ML,Beginner,https://github.com/anujdutt9/Handwritten-Digit-Recognition-using-Deep-Learning,https://www.youtube.com/watch?v=L2cAjgc1-bo,TensorFlow,Recognizes handwritten digits.
Emotion Detection from Text,NLP,Intermediate,https://github.com/SannketNikam/Emotion-Detection-in-Text,https://www.youtube.com/watch?v=J87jV9OGodw,NLTK,Detects emotions in text.
AI Chatbot with Context Memory,AI,Advanced,https://github.com/gmickel/memorybot,https://www.youtube.com/watch?v=83KTwxCCe9I,TensorFlow,A chatbot with context memory.
Secure Login System with OTP,Cybersecurity,Intermediate,https://github.com/adarsh-2425/OTP-based-Authentication-System,https://www.youtube.com/watch?v=4ZIshw5JMNk,JWT,A secure login system using one-time passwords.
Real-Time Face Mask Detection,CVIP,Intermediate,https://github.com/Piyush2912/Real-Time-Face-Mask-Detection,https://www.youtube.com/watch?v=IOI0o3Cxv9Q,TensorFlow,Detects face masks in real-time.
News Article Summarizer,NLP,Advanced,https://github.com/akanksha1131/News-Articles-Summarizer-App,https://www.youtube.com/watch?v=HHYqpHwGDgQ,NLTK,Summarizes news articles.
To-Do App with Flask,Web Development,Beginner,https://github.com/patrickloeber/flask-todo,https://www.youtube.com/watch?v=yKHJsLUENl0,Flask,A simple to-do list application.
Phishing URL Detection,Cybersecurity,Intermediate,https://github.com/vaibhavbichave/Phishing-URL-Detection,https://www.youtube.com/watch?v=huX5Sb263vc,scikit-learn,Detects phishing URLs.
Music Genre Classification,ML,Intermediate,https://github.com/jsalbert/Music-Genre-Classification-with-Deep-Learning,https://www.youtube.com/watch?v=szyGiObZymo,TensorFlow,Classifies music genres.
Object Detection with YOLO,CVIP,Advanced,https://github.com/yash42828/YOLO-object-detection-with-OpenCV,https://www.youtube.com/watch?v=fu2tfOV9vbY,YOLO,Detects objects in images.
Text Sentiment Analysis,NLP,Beginner,https://github.com/srini047/text-based-sentiment-analysis,https://www.youtube.com/watch?v=sFS5nJvCn8M,NLTK,Analyzes text sentiment.
